월,일,시간(1h),시간(2h),시간(3h),시간(4h),시간(5h),시간(6h),시간(7h),시간(8h),시간(9h),시간(10h),시간(11h),시간(12h),시간(13h),시간(14h),시간(15h),시간(16h),시간(17h),시간(18h),시간(19h),시간(20h),시간(21h),시간(22h),시간(23h),시간(24h)
2,11,0,0,0,0,0,0,0,3.36,71.16,522,943.8,1092.96,1277.4,1282.44,1121.04,764.52,491.04,103.56,0.24,0,0,0,0,0
2,12,0,0,0,0,0,0,0,0.6,69.36,273.12,438.24,1169.76,1241.4,686.4,1132.92,870.72,476.28,66,0.72,0,0,0,0,0
2,13,0,0,0,0,0,0,0,8.52,153.96,460.44,523.68,646.44,700.44,591.72,460.44,332.52,354.12,58.92,0,0,0,0,0,0
2,14,0,0,0,0,0,0,0,12.36,247.8,763.68,997.92,1117.2,1179.72,973.08,605.04,591.12,542.04,112.08,1.56,0,0,0,0,0
2,15,0,0,0,0,0,0,0,12.72,305.76,827.88,1129.68,1284.84,1310.16,1284.72,1161.84,933.36,571.44,120,1.44,0,0,0,0,0
2,16,0,0,0,0,0,0,0,8.76,98.28,271.44,473.16,702.36,898.92,1128.24,684.84,491.04,393.36,69.6,0.84,0,0,0,0,0
2,17,0,0,0,0,0,0,0,0,20.64,72.24,103.44,98.76,120.96,93.48,78.72,41.88,36.6,2.76,0,0,0,0,0,0
2,18,0,0,0,0,0,0,0,12.84,186.6,287.4,648.6,802.56,314.76,361.8,180.96,201,99.84,44.4,0.72,0,0,0,0,0
2,19,0,0,0,0,0,0,0,18.6,190.56,660.84,961.92,912.6,1081.2,1155.12,1109.64,929.64,467.4,124.08,1.68,0,0,0,0,0
2,20,0,0,0,0,0,0,0,21,289.2,686.88,984.12,977.52,1311.72,1217.88,817.32,466.92,151.68,39.6,0.12,0,0,0,0,0
2,21,0,0,0,0,0,0,0,33,422.16,867.84,1151.04,1317.48,1384.68,1349.52,1253.52,1020,644.52,190.8,3.84,0,0,0,0,0
2,22,0,0,0,0,0,0,0,22.8,296.64,697.92,1010.28,1206.36,1267.92,1254.72,1024.32,757.32,439.2,123.48,3.48,0,0,0,0,0
2,23,0,0,0,0,0,0,0,25.92,255.48,614.4,896.88,1041.24,1140.6,1171.92,1000.08,705.6,446.04,126.6,3.36,0,0,0,0,0
2,24,0,0,0,0,0,0,0,22.32,199.2,519.6,825.24,1029.12,1125.36,1090.08,969.6,764.64,447,135.48,4.8,0,0,0,0,0
2,25,0,0,0,0,0,0,0,22.56,135.24,350.28,684.24,832.8,972.36,618.72,598.08,349.44,146.88,36.12,0.36,0,0,0,0,0
2,26,0,0,0,0,0,0,0,0,14.28,47.64,124.44,178.2,195.96,254.76,230.4,171.24,187.56,59.28,0.12,0,0,0,0,0
2,27,0,0,0,0,0,0,0,23.4,195.36,463.92,775.2,996.72,1112.28,1063.32,923.52,542.04,400.92,99.24,3.6,0,0,0,0,0
2,28,0,0,0,0,0,0,0,5.64,73.8,182.4,289.44,606.84,593.88,428.76,253.56,118.56,52.56,13.32,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,7.56,42.72,57.24,53.52,108.12,171.72,60.36,46.08,44.28,17.64,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,38.04,327.96,723.24,1043.28,1213.68,1322.76,1356.96,1150.68,965.52,684.48,213.36,5.64,0,0,0,0,0
3,3,0,0,0,0,0,0,0,48.48,346.92,770.64,1040.16,1191.48,1283.76,1288.8,1195.92,934.2,551.76,194.88,9,0,0,0,0,0
3,4,0,0,0,0,0,0,0,19.32,147.24,266.76,645.12,407.04,435.48,315.96,131.4,188.4,124.56,52.08,8.76,0,0,0,0,0
3,5,0,0,0,0,0,0,0,69.84,462.48,895.44,1185.48,1365.24,1433.16,1413.48,1284.12,1038.72,697.08,257.04,11.64,0,0,0,0,0
3,6,0,0,0,0,0,0,0,71.64,435,698.28,839.64,1089.6,1112.76,832.44,824.64,596.04,380.52,137.16,9.48,0,0,0,0,0
3,7,0,0,0,0,0,0,0,67.32,418.32,875.28,1176.84,1360.56,1446,1416.6,1284.84,1055.52,608.28,127.8,8.16,0,0,0,0,0
3,8,0,0,0,0,0,0,0,89.88,423.72,783.96,788.4,913.68,957.6,680.76,587.4,344.76,221.16,129.12,14.64,0,0,0,0,0
3,9,0,0,0,0,0,0,0,45.96,232.08,193.92,556.2,653.52,460.32,673.8,431.64,451.56,612.6,294.6,21.84,0,0,0,0,0
3,10,0,0,0,0,0,0,0,109.8,492.36,883.92,1172.4,1336.2,1402.56,1280.4,1259.76,1044.6,715.08,301.68,22.56,0,0,0,0,0
3,11,0,0,0,0,0,0,0,65.4,340.08,691.44,1002.72,1168.44,1251.6,1197,1094.28,881.88,550.92,236.64,23.28,0,0,0,0,0
3,12,0,0,0,0,0,0,0,11.4,54.6,35.4,63.84,47.28,126.36,89.76,109.68,55.92,7.92,0,0,0,0,0,0,0
3,13,0,0,0,0,0,0,0,8.64,28.56,45.96,48.48,67.2,72.84,60.96,279.84,132.36,80.4,5.16,0,0,0,0,0,0
3,14,0,0,0,0,0,0,0,0,0,40.56,471.96,297.84,725.52,1338.36,921.84,926.76,553.68,258.12,18.84,0,0,0,0,0
3,15,0,0,0,0,0,0,0.12,95.04,423.12,758.4,1010.4,1163.28,1240.44,1246.92,1131.96,924.84,597.72,227.52,18.84,0,0,0,0,0
3,16,0,0,0,0,0,0,0.12,79.44,360.48,697.08,973.32,1140.24,1209.24,1188.72,1074.84,874.56,563.4,224.64,19.68,0,0,0,0,0
3,17,0,0,0,0,0,0,0,67.56,240.12,516.48,1032.12,1070.16,411.36,66.48,97.2,53.88,25.56,10.68,0,0,0,0,0,0
3,18,0,0,0,0,0,0,0,6,33,65.16,98.76,236.76,339.72,350.16,891.96,847.08,514.44,223.32,20.16,0,0,0,0,0
3,19,0,0,0,0,0,0,0,69.36,155.88,139.68,84.6,109.68,366.96,620.04,602.28,487.44,276.12,129.96,15.72,0,0,0,0,0
3,20,0,0,0,0,0,0,0,36.12,226.08,433.32,740.4,900.12,1288.8,1313.16,1005.48,802.56,622.44,195.72,2.52,0,0,0,0,0
3,21,0,0,0,0,0,0,0.84,116.04,472.68,727.68,915.6,1355.04,1430.88,1411.68,1282.32,1044.96,719.76,311.28,30.96,0,0,0,0,0
3,22,0,0,0,0,0,0,2.4,129.96,442.56,783.6,1020.12,1183.2,1225.44,1168.56,1039.44,820.32,507,192,20.64,0,0,0,0,0
3,23,0,0,0,0,0,0,0.36,53.64,194.76,653.16,1013.04,1140.36,1187.76,1202.04,1103.16,885,585.12,244.44,25.92,0,0,0,0,0
3,24,0,0,0,0,0,0,2.52,121.68,455.88,795.48,999.48,1147.44,1222.44,1171.08,829.56,730.32,329.16,200.04,8.64,0,0,0,0,0
3,25,0,0,0,0,0,0,0,4.68,26.76,48.6,83.76,90.72,46.8,89.52,101.52,47.64,42.12,17.64,0,0,0,0,0,0
3,26,0,0,0,0,0,0,0,21.36,70.8,56.4,59.28,75.6,112.92,233.28,286.2,171.36,553.56,242.76,25.92,0,0,0,0,0
3,27,0,0,0,0,0,0,0,30.6,117.84,352.92,922.08,1102.08,1124.76,1090.68,1020.24,834.36,532.8,206.64,26.52,0,0,0,0,0
3,28,0,0,0,0,0,0,4.2,139.92,486.48,818.76,1043.16,1174.32,1152.84,1041,578.52,299.64,138.72,110.76,16.8,0,0,0,0,0
3,29,0,0,0,0,0,0,0,4.2,28.56,46.32,102.48,96.96,154.32,115.08,90.96,44.88,58.92,39,0,0,0,0,0,0
3,30,0,0,0,0,0,0,0,10.92,71.4,217.8,555.12,1207.2,1095.84,1260.48,1195.08,963.84,587.04,205.68,39.24,0,0,0,0,0
3,31,0,0,0,0,0,0,2.76,38.64,114.84,244.92,614.04,991.2,1188.6,1063.8,997.56,891.84,483,252,30.6,0,0,0,0,0
4,1,0,0,0,0,0,0,10.2,139.8,484.92,858.84,1059.72,1173.96,1222.92,1167,813.36,792.36,555.96,232.08,38.4,0,0,0,0,0
4,2,0,0,0,0,0,0,8.88,155.16,469.08,775.8,999,1121.28,1082.76,1135.08,1067.16,847.08,558.84,235.2,30.96,0,0,0,0,0
4,3,0,0,0,0,0,0,14.64,146.28,374.88,528.96,847.2,1065.24,903,857.4,512.64,501.24,259.44,183.72,25.92,0,0,0,0,0
